[FIRs]
;ICAO|NAME|CALLSIGN PREFIX|FIR BOUNDARY
;dummy codes for Adria CTR
ADR|Adria Radar||ADR
ADR-W|Adria Radar (West)|ADR_W|ADR-W
ADR-E|Adria Radar (East)|ADR_E|ADR-E
AGGG|Honiara||AGGG
ANAU|Nauru||ANAU
AYPM|Port Moresby||AYPM
BGGL|Nuuk||BGGL
BIRD|Reykjavik||BIRD
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E1|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E2|BIRD-E
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E3|BIRD-E
BIRD-N|Reykjavik ACC (North) - Reykjavik|BIRD_N|BIRD-N
BIRD-S|Reykjavik ACC (South) - Reykjavik|BIRD_S|BIRD-S
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W1|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W2|BIRD-W
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W3|BIRD-W
BSW|Black Sea West Radar||BSW
CZEG|Edmonton|EDM|CZEG
CZEG|Edmonton|ZEG|CZEG
CZQM|Moncton|CZQM|CZQM
CZZV|Sept-Iles (CZUL SFC-280 / CZQM 290-ABV)||CZZV
CZQX|Gander|GAND|CZQX
CZQX|Gander|YQX|CZQX
CZQO|Gander Oceanic|CZQO|CZQO
CZQO-GOTA|Gander Oceanic Transition Area (CZQO SFC-280 / CZQX 290-ABV)||CZQO-GOTA
CZUL|Montreal|MTL|CZUL
CZVR|Vancouver|VAN|CZVR
CZVR|Vancouver|CYVR|CZVR
CZVR|Vancouver|ZVR|CZVR
CZWG|Winnipeg|WPG|CZWG
CZWG|Winnipeg|ZWG|CZWG
CZYZ|Toronto|TOR|CZYZ
DAAA|Algiers||DAAA
DGAC|Accra||DGAC
DGAO|Accra Oceanic||DGAO
DIII|Abidjan||DIII
DNKK|Kano||DNKK
DRRR|Niamey||DRRR
DTTC|Tunis||DTTC
EBBU|Brussels||EBBU
EBUR|Brussels Upper||EBBU
EDGG-BAD|Langen Radar (Baden) - Langen|EDGG_BAD|EDGG-BAD
EDGG-GIN|Langen Radar (Giessen) - Langen|EDGG_GIN|EDGG-GIN
EDGG-DKB|Langen Radar (Dinkelsbuehl) - Langen|EDGG_DKB|EDGG-DKB
EDGG-RUD|Langen Radar (Ruedesheim) - Langen|EDGG_RUD|EDGG-RUD
EDGG-KTG|Langen Radar (Kitzingen) - Langen|EDGG_KTG|EDGG-KTG
EDGG-HMM|Langen Radar (Hamm) - Langen|EDGG_HMM|EDGG-HMM
EDGG-PAH|Langen Radar (Pad High) - Langen|EDGG_PAH|EDGG-PAH
EDGG|Langen||EDGG
EDMM|Muenchen||EDMM
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_ZUG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_ALB|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_EGG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_FUE|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_NDG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_STA|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_TEG|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_TRU|EDMM-ZUG
EDMM-ZUG|Muenchen ACC (Zugspitze) - Muenchen|EDMM_WLD|EDMM-ZUG
EDMM-RDG|Muenchen ACC (Roding) - Muenchen|EDMM_RDG|EDMM-RDG
EDMM-HOF|Muenchen ACC (Hof) - Muenchen|EDMM_HOF|EDMM-HOF
EDMM-HOF|Muenchen ACC (Hof) - Muenchen|EDMM_BBG|EDMM-HOF
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_GER|EDMM-GER
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_MEI|EDMM-GER
EDMM-GER|Muenchen ACC (Gera) - Muenchen|EDMM_HAL|EDMM-GER
EDWW|Bremen||EDWW
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_F|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_B|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_K|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_M|EDWW-B
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_A|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_H|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_E|EDWW-A
EDWW-W|Bremen ACC (West) - Bremen|EDWW_W|EDWW-W
EDWW-D|Bremen ACC (Deister) - Bremen|EDWW_D|EDWW-D
EDWW-D|Bremen ACC (Deister) - Bremen|EDWW_R|EDWW-D
EDWW-D|Bremen ACC (Deister) - Bremen|EDWW_S|EDWW-D
EDXX|Langen Information - FIS only|EDXX_FIS|EDXX
EETT|Tallinn||EETT
EFIN|Helsinki||EFIN
EGGX|Shanwick Oceanic|EGGX|EGGX
EGPX|Scottish|SCO|EGPX
EGPX-D|Scottish ACC (Deancross) - Scottish|SCO_D|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_W|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_E|EGPX-D
EGPX-E|Scottish ACC (East) - Scottish|SCO_E|EGPX-E
EGPX-N|Scottish ACC (North) - Scottish|SCO_N|EGPX-N
EGPX-S|Scottish ACC (South) - Scottish|SCO_S|EGPX-S
EGPX-S|Scottish ACC (Tay) - Scottish|SCL_TAY|EGPX-S
